,nom_editeur
347,NEC Interchannel
348,Namco Bandai Games
349,Natsume
350,Navarre Corp
351,Naxat Soft
352,Neko Entertainment
353,NetRevo
354,New
355,New World Computing
356,NewKidCo
357,Nexon
358,Nichibutsu
359,Nihon Falcom Corporation
360,Nintendo
361,Nippon Amuse
362,Nippon Columbia
363,Nippon Ichi Software
364,Nippon Telenet
365,Nitroplus
366,Nobilis
367,Nordcurrent
368,Nordic Games
369,NovaLogic
370,Number None
371,O-Games
372,O3 Entertainment
373,Ocean
374,Office Create
375,On Demand
376,Ongakukan
377,Origin Systems
378,Otomate
379,Oxygen Interactive
380,P2 Games
381,PM Studios
382,PQube
383,Pacific Century Cyber Works
384,Pack In Soft
385,Pack-In-Video
386,Palcom
387,Panther Software
388,Paon
389,Paon Corporation
390,Paradox Development
391,Paradox Interactive
392,Parker Bros.
393,Performance Designed Products
394,Phantagram
395,Phantom EFX
396,Phenomedia
397,Phoenix Games
398,Piacci
399,Pinnacle
400,Pioneer LDC
401,Play It
402,PlayV
403,Playlogic Game Factory
404,Playmates
405,Playmore
406,Plenty
407,Pony Canyon
408,PopCap Games
409,PopTop Software
410,Popcorn Arcade
411,Pow
412,Princess Soft
413,Prototype
414,Psygnosis
415,Quelle
416,Quest
417,Quinrose
418,Quintet
419,RED Entertainment
420,RTL
421,Rage Software
422,Rain Games
423,Rebellion
424,Rebellion Developments
425,Red Orb
426,Red Storm Entertainment
427,RedOctane
428,Reef Entertainment
429,Revolution (Japan)
430,Revolution Software
431,Rising Star Games
432,Riverhillsoft
433,Rocket Company
434,Rondomedia
435,Russel
436,SCS Software
437,SCi
438,SNK
439,SNK Playmore
440,SPS
441,SSI
442,Sammy Corporation
443,Saurus
444,Scholastic Inc.
445,Screenlife
446,Sega
447,Seta Corporation
448,Seventh Chord
449,Shogakukan
450,Simon & Schuster Interactive
451,Slightly Mad Studios
452,Slitherine Software
453,Societa
454,Sold Out
455,Sonnet
456,Sony Computer Entertainment
457,Sony Computer Entertainment America
458,Sony Computer Entertainment Europe
459,Sony Music Entertainment
460,Sony Online Entertainment
461,SouthPeak Games
462,Spike
463,Square
464,Square EA
465,Square Enix
466,SquareSoft
467,Stainless Games
468,Starfish
469,Starpath Corp.
470,Sting
471,Storm City Games
472,Strategy First
473,Success
474,Summitsoft
475,Sunflowers
476,Sunrise Interactive
477,Sunsoft
478,Sweets
479,Swing! Entertainment
480,Syscom
481,System 3
482,System 3 Arcade Software
483,System Soft
484,T&E Soft
485,TDK Core
486,TDK Mediactive
487,TGL
488,THQ
489,TOHO
490,TYO
491,Taito
492,Takara
493,Takara Tomy
494,Take-Two Interactive
495,Takuyo
496,TalonSoft
497,Team17 Software
498,TechnoSoft
499,Technos Japan Corporation
500,Tecmo Koei
501,Telegames
502,Telltale Games
503,Telstar
504,Tetris Online
505,The Adventure Company
506,The Learning Company
507,Tigervision
508,Time Warner Interactive
509,Titus
510,Tivola
511,Tommo
512,Tomy Corporation
513,TopWare Interactive
514,Touchstone
515,Tradewest
516,Trion Worlds
517,Tripwire Interactive
518,Tru Blu Entertainment
519,Tryfirst
520,Type-Moon
521,U.S. Gold
522,UEP Systems
523,UFO Interactive
524,UIG Entertainment
525,Ubisoft
526,Ubisoft Annecy
527,Universal Gamex
528,Universal Interactive
529,Unknown
530,Valcon Games
531,ValuSoft
532,Valve
533,Valve Software
534,Vap
535,Vatical Entertainment
536,Vic Tokai
537,Victor Interactive
538,Video System
539,Views
540,Vir2L Studios
541,Virgin Interactive
542,Virtual Play Games
543,Visco
544,Vivendi Games
545,Wanadoo
546,Warashi
547,Wargaming.net
548,Warner Bros. Interactive Entertainment
549,Warp
550,WayForward Technologies
551,Westwood Studios
552,White Park Bay Software
553,Wizard Video Games
554,XS Games
555,Xicat Interactive
556,Xing Entertainment
557,Xplosiv
558,Xseed Games
559,Yacht Club Games
560,Yamasa Entertainment
561,Yeti
562,Yuke's
563,Yumedia
564,Zenrin
565,Zoo Digital Publishing
566,Zoo Games
567,Zushi Games
568,bitComposer Games
569,dramatic create
570,fonfun
571,iWin
572,id Software
573,imageepoch Inc.
574,inXile Entertainment
575,"mixi, Inc"
576,responDESIGN
